Nickname,İsim Soyisim,Email,Şifre,Yaş,Şarkı Türü,Şarkı Duygusu,Ne Yaparken Dinlediği,Geçmiş Şarkıları
sedkor1,Seda Korkmaz,sedkor1@musicapp.com,seda2966!,28,french rap,Üzüntü,Uyumadan önce,Filthy; Round Midnight; A Lovely Night
borgök2,Bora Gökmen,borgök2@musicapp.com,bora5154!,38,mexican indie,Savaş,Yemek yaparken,Blue Flame; Boom; 40
burşah3,Burcu Şahin,burşah3@musicapp.com,burcu8294!,22,clasic rock,Mutluluk,Yürürken,$20 Mints; Boom; Heroes
melerd4,Melisa Erdem,melerd4@musicapp.com,melisa6772!,27,visual kei,Enerji,Ders çalışırken,!Lost!; Round Midnight; A Lovely Night
eylbul5,Eylül Bulut,eylbul5@musicapp.com,eylül8372!,23,country,Korku,Oyun oynarken,Round Midnight; Forbidden; $20 Mints
cerkoç6,Ceren Koç,cerkoç6@musicapp.com,ceren9837!,38,anime,Mutluluk,Yemek yaparken,Blue Flame; A Lovely Night; Filthy
gamaca7,Gamze Acar,gamaca7@musicapp.com,gamze2002!,26,glam rock,Sakinlik,Yemek yaparken,Forbidden; Round Midnight; $20 Mints
selözt8,Selin Öztürk,selözt8@musicapp.com,selin1750!,23,folk punk,Sakinlik,Spor yaparken,!Lost!; Heroes; Round Midnight
peldum9,Pelin Duman,peldum9@musicapp.com,pelin6065!,22,italo dance,Enerji,Ders çalışırken,!Lost!; Boom; Filthy
gökkay10,Gökhan Kaya,gökkay10@musicapp.com,gökhan8015!,23,indie folk,Üzüntü,Spor yaparken,A Lovely Night; $20 Mints; Filthy
büşbul11,Büşra Bulut,büşbul11@musicapp.com,büşra3124!,23,folk punk,Korku,Oyun oynarken,Round Midnight; $20 Mints; Blue Flame
gökbul12,Gökhan Bulut,gökbul12@musicapp.com,gökhan8623!,26,classic blues,Savaş,Uyumadan önce,40; Heroes; Blue Flame
